clientId,orderdate,recency,gender,水,牛奶,香蕉,frequency
1,2017/4/3,8,男性,2,2,0,5
2,2017/3/31,11,男性,4,1,0,1
3,2017/4/10,1,女性,0,0,1,6
4,2017/2/1,69,女性,2,1,1,1
5,2017/3/26,16,男性,0,1,0,4
6,2017/3/12,30,女性,2,0,0,4
7,2017/3/7,35,女性,3,3,1,5
8,2017/4/7,4,女性,3,1,0,3
9,2017/2/23,47,女性,3,1,1,1
10,2017/4/8,3,男性,2,4,0,3
11,2017/4/10,1,男性,2,0,0,5
12,2017/3/21,21,男性,0,3,0,2
13,2017/3/26,16,男性,4,2,0,8
14,2017/3/18,24,男性,6,0,1,4
15,2017/3/21,21,女性,5,2,1,5
16,2017/3/20,22,女性,4,1,0,2
17,2017/3/2,40,女性,4,0,0,2
18,2017/4/11,0,男性,1,0,0,7
19,2017/3/20,22,女性,6,2,0,3
20,2017/3/14,28,男性,3,1,0,4
21,2017/3/27,15,男性,2,0,0,4
22,2017/2/15,55,女性,3,2,0,3
23,2017/2/17,53,男性,4,1,1,2
24,2017/3/3,39,男性,2,1,1,4
25,2017/3/23,19,女性,3,2,1,3
26,2017/3/28,14,男性,7,1,0,3
27,2017/3/27,15,男性,0,2,0,4
28,2017/4/3,8,女性,1,3,1,6
29,2017/4/11,0,女性,1,0,1,1
31,2017/2/22,48,男性,4,2,1,3
32,2017/2/16,54,女性,1,1,0,3
33,2017/4/6,5,男性,1,0,1,4
34,2017/3/16,26,男性,4,1,1,3
36,2017/3/13,29,女性,2,2,0,4
37,2017/4/10,1,女性,4,1,0,3
38,2017/3/26,16,女性,4,2,1,3
39,2017/4/10,1,女性,1,2,0,4
40,2017/4/11,0,男性,5,2,0,2
41,2017/3/10,32,女性,3,0,0,2
42,2017/4/11,0,男性,3,1,0,4
43,2017/3/28,14,女性,3,1,3,4
44,2017/4/8,3,女性,2,1,1,1
45,2017/2/19,51,女性,3,2,0,1
46,2017/3/6,36,女性,3,1,0,3
47,2017/3/9,33,男性,5,1,2,5
48,2017/3/30,12,女性,5,1,0,7
49,2017/4/8,3,女性,1,3,1,5
50,2017/4/6,5,男性,3,0,0,3
51,2017/3/14,28,男性,2,0,0,3
52,2017/3/10,32,女性,3,0,2,1
53,2017/3/10,32,男性,4,2,0,7
54,2017/2/25,45,男性,1,2,1,3
55,2017/3/24,18,女性,3,0,0,2
56,2017/2/28,42,男性,2,2,0,2
57,2017/4/11,0,女性,1,2,0,5
58,2017/3/7,35,男性,4,0,1,4
59,2017/4/3,8,女性,2,4,1,3
60,2017/4/6,5,男性,3,0,0,7
62,2017/4/10,1,女性,3,2,1,4
63,2017/4/9,2,男性,3,0,0,1
64,2017/3/15,27,女性,6,2,2,2
65,2017/2/17,53,女性,2,3,0,3
66,2017/2/20,50,女性,3,0,1,3
67,2017/4/4,7,男性,1,1,1,9
68,2017/3/22,20,女性,2,2,0,2
69,2017/4/1,10,男性,5,1,1,4
70,2017/4/8,3,男性,1,0,1,6
71,2017/1/23,78,女性,3,0,2,2
72,2017/4/4,7,男性,5,2,2,2
73,2017/3/28,14,男性,0,1,1,5
74,2017/4/7,4,男性,2,2,1,4
75,2017/4/10,1,男性,0,2,1,3
76,2017/4/3,8,女性,1,0,2,3
77,2017/4/5,6,女性,4,1,0,5
78,2017/2/6,64,女性,1,2,1,1
79,2017/3/12,30,男性,4,1,1,4
80,2017/3/24,18,男性,1,0,1,7
81,2017/3/29,13,女性,3,1,1,5
82,2017/3/25,17,女性,3,3,0,3
83,2017/3/17,25,男性,2,1,0,6
85,2017/3/25,17,女性,2,1,1,4
86,2017/3/2,40,女性,1,1,2,2
87,2017/3/20,22,男性,5,2,0,6
88,2017/3/4,38,女性,2,1,0,5
89,2017/1/21,80,男性,1,2,0,1
90,2017/3/4,38,女性,1,5,1,2
91,2017/4/6,5,女性,0,3,0,4
92,2017/2/9,61,女性,3,0,0,2
93,2017/4/4,7,女性,3,2,1,7
94,2017/4/3,8,女性,1,0,1,3
95,2017/3/28,14,女性,4,2,0,4
96,2017/4/11,0,女性,4,1,1,2
97,2017/3/11,31,女性,3,0,2,4
98,2017/4/11,0,男性,5,0,0,3
99,2017/3/25,17,男性,5,1,0,4
100,2017/3/16,26,男性,4,2,0,2
101,2017/2/7,63,女性,1,2,0,1
