時間, 平日來客數 ,  週末來客數  , 平日營業額, 週末營業額, 平日累積營業額, 週末累積營業額,,
0~1,69.6, 129.5 ,"70,713.6","147,371.1","70,713.6","147,371.1",,
1~2,42.2, 46.0 ,"47,306.2","54,326.7","118,019.8","201,697.8",,
2~3,21.6, 32.9 ,"25,142.4","41,388.2","143,162.2","243,086.0",,
3~4,12.7, 21.6 ,"13,373.1","27,000.0","156,535.3","270,086.0",,
4~5,7.8, 12.4 ,"9,648.6","16,225.3","166,183.9","286,311.3",,
5~6,9.3, 5.3 ,"9,272.1","6,826.4","175,456.0","293,137.7",,
6~7,15.6, 14.5 ,"7,519.2","10,324.0","182,975.2","303,461.7",,
7~8,20.8, 34.1 ,"12,376.0","23,460.8","195,351.2","326,922.5",,
8~9,50.4, 75.5 ,"34,423.2","57,229.0","229,774.4","384,151.5",,
9~10,109.2, 163.6 ,"99,044.4","177,669.6","328,818.8","561,821.1",,
10~11,195.6, 291.0 ,"205,966.8","307,296.2","534,785.6","869,117.3",,
11~12,200, 328.5 ,"194,800.0","383,031.0","729,585.6","1,252,148.3",,
12~13,169.2, 303.2 ,"183,751.2","391,128.0","913,336.8","1,643,276.3",,
13~14,164.6, 255.1 ,"171,677.8","335,966.7","1,085,014.6","1,979,243.0",,
14~15,191.4, 342.8 ,"204,989.4","415,130.8","1,290,004.0","2,394,373.8",,
15~16,239.7, 452.4 ,"259,115.7","586,310.4","1,549,119.7","2,980,684.2",,
16~17,247.4, 499.5 ,"234,287.8","567,432.0","1,783,407.5","3,548,116.2",,
17~18,252.1, 484.6 ,"233,444.6","560,682.2","2,016,852.1","4,108,798.4",,
18~19,214.2, 373.5 ,"191,923.2","402,633.5","2,208,775.3","4,511,431.9",,
19~20,212.8, 350.0 ,"194,073.6","374,850.8","2,402,848.9","4,886,282.7",,
20~21,268.1, 402.3 ,"266,491.4","469,315.0","2,669,340.3","5,355,597.7",,
21~22,261.4, 410.1 ,"289,108.3","489,249.3","2,958,448.6","5,844,847.0",,
22~23,234.3, 251.4 ,"252,575.9","321,037.8","3,211,024.5","6,165,884.8",,
23~24,163.2, 201.7 ,"163,200.5","236,594.1","3,374,225.0","6,402,478.9",,
,,,,,,,,
