日期,最高温,最低温,天气,风力风向,空气质量指数
2021-05-01 周六,27°,21°,阴~多云,西风2级,20 优
2021-05-02 周日,26°,22°,多云~小雨,东北风2级,17 优
2021-05-03 周一,26°,22°,阴~多云,东南风3级,13 优
2021-05-04 周二,26°,22°,阴~小雨,东北风1级,14 优
2021-05-05 周三,24°,21°,阴,东北风微风,12 优
2021-05-06 周四,26°,22°,多云~晴,东北风2级,14 优
2021-05-07 周五,27°,23°,多云,西北风2级,19 优
2021-05-08 周六,27°,23°,阴~小雨,西北风2级,12 优
2021-05-09 周日,27°,23°,多云,西北风2级,11 优
2021-05-10 周一,28°,23°,阴~多云,西北风微风,14 优
2021-05-11 周二,29°,24°,多云,西北风微风,14 优
2021-04-01 周四,27°,21°,阴~多云,西风微风,19 优
2021-04-02 周五,26°,21°,多云~小雨,西北风微风,18 优
2021-04-03 周六,24°,19°,多云~小雨,北风2级,17 优
2021-04-04 周日,20°,15°,小雨~多云,东北风3级,14 优
2021-04-05 周一,20°,16°,晴,东北风3级,13 优
2021-04-06 周二,20°,17°,多云,东北风3级,14 优
2021-04-07 周三,21°,18°,多云,东风3级,13 优
2021-04-08 周四,22°,17°,阴~小雨,东北风3级,11 优
2021-04-09 周五,19°,18°,阴~小雨,东北风3级,13 优
2021-04-10 周六,22°,18°,小雨,东北风2级,12 优
2021-04-11 周日,26°,20°,阴~晴,东南风2级,13 优
2021-04-12 周一,26°,20°,晴,西北风2级,18 优
2021-04-13 周二,25°,19°,多云~小雨,东北风2级,16 优
2021-04-14 周三,20°,19°,阴~小雨,东北风3级,12 优
2021-04-15 周四,23°,19°,阴,东北风3级,12 优
2021-04-16 周五,23°,19°,阴,东北风2级,19 优
2021-04-17 周六,22°,18°,阴~多云,东北风3级,17 优
2021-04-18 周日,21°,18°,多云,东风4级,23 优
2021-04-19 周一,23°,19°,阴~晴,东风4级,14 优
2021-04-20 周二,25°,20°,多云~晴,东南风4级,12 优
2021-04-21 周三,26°,22°,阴~多云,东风4级,13 优
2021-04-22 周四,27°,21°,多云~小雨,东南风3级,12 优
2021-04-23 周五,25°,21°,阴~小雨,东北风2级,13 优
2021-04-24 周六,24°,20°,阴~多云,东北风3级,16 优
2021-04-25 周日,23°,20°,阴~小雨,东风3级,9 优
2021-04-26 周一,24°,21°,阴,东风3级,10 优
2021-04-27 周二,25°,21°,阴,南风2级,14 优
2021-04-28 周三,23°,19°,阴~中雨,北风1级,12 优
2021-04-29 周四,21°,18°,阴~晴,东北风微风,12 优
2021-04-30 周五,27°,20°,多云~晴,西风2级,17 优
2021-03-01 周一,21°,14°,多云~小雨,西风2级,17 优
2021-03-02 周二,16°,15°,阴~小雨,东北风3级,11 优
2021-03-03 周三,18°,17°,阴~多云,东北风微风,12 优
2021-03-04 周四,19°,18°,阴~小雨,西北风1级,15 优
2021-03-05 周五,21°,18°,多云~小雨,东风微风,17 优
2021-03-06 周六,21°,17°,阴~小雨,北风2级,13 优
2021-03-07 周日,20°,17°,阴~小雨,东北风3级,9 优
2021-03-08 周一,19°,17°,阴~小雨,东北风3级,12 优
2021-03-09 周二,21°,17°,阴~小雨,东北风3级,14 优
2021-03-10 周三,19°,17°,阴~多云,东北风微风,12 优
2021-03-11 周四,22°,17°,晴,东风2级,18 优
