發文ID,,文章ID,發文時間,更新時間,樓層,留言內容,按讚數,withNickname,是否被作者隱藏,meta,性別,學校,個人主頁,是否為發文者,reportReason,mediaMeta,是否隱藏,inReview,reportReasonText,isSuspiciousAccount,isModerator,postAvatar,verifiedBadge,memberType
6e92de8c-6e23-49ac-882c-768c4bc8ec7c,False,235996273,2021-05-15T05:20:58.196Z,2021-05-15T17:59:58.503Z,1,"武漢肺炎症狀我倒是很清楚
————
媽！我上熱門了",3092.0,True,False,{},M,文化大學,flagflag,False,,[],False,False,,False,False,,False,
d5f86c02-f9d5-4e83-9d9e-210aa590b0ec,True,235996273,2021-05-15T05:24:25.086Z,2021-05-15T05:24:25.086Z,2,武漢廢言B1,49.0,False,False,{},M,國立臺灣大學,,True,,[],False,False,,False,False,,False,
257d5f8c-4ef0-434d-8e4a-f423fd064f9b,True,235996273,2021-05-15T06:49:44.887Z,2021-05-15T06:49:44.887Z,3,"跟流感幾乎一樣啊
真的很難分辨欸",35.0,False,False,{},M,淡江大學,,False,,[],False,False,,False,False,,False,
dc012695-5c2b-470a-8961-d6f5259e2aca,True,235996273,2021-05-15T06:54:57.398Z,2021-05-15T06:54:57.398Z,4,B1 可撥綠蛆,178.0,False,False,{},F,國立清華大學,,False,,[],False,False,,False,False,,False,
3ce12b26-c088-4b1f-afb3-98adaff7249d,False,235996273,2021-05-15T07:15:42.309Z,2021-05-15T18:07:25.784Z,5,"B4 可撥藍蛆
———
就是有些人動不動就想嘴人政治顏色
還有看到學校也要戰一下
讀稍微有名氣的學校就要戰其他學校是要顯得你比較優越嗎？",1689.0,True,False,{},M,文化大學,flagflag,False,,[],False,False,,False,False,,False,
f26bdccb-d6cb-4872-905b-99da6a786e03,False,235996273,2021-05-15T07:37:57.195Z,2021-05-15T07:37:57.195Z,6,"我打噴嚏時會緊閉嘴巴不噴出來
之前就這樣習慣ㄌ
畢竟現在這種狀況也難免大家會害怕😅
所以還是要戴好口罩注意安全不要出門～～",12.0,False,False,{},F,台南應用科技大學,時尚設計系,False,,[],False,False,,False,False,,False,
3f571e4c-5dff-4e78-b980-16f28c8d0060,True,235996273,2021-05-15T07:38:18.004Z,2021-05-15T07:38:18.004Z,7,"現在很多無症狀確診
疫情期間大家會比較敏感很正常吧
聽到打噴嚏會恐懼就是怕飛沫傳染阿
自己有做好防疫就無須理會旁人眼光
不過還是安慰你一下 不要太放心裡去啦",1187.0,False,False,{},F,中國文化大學,,False,,[],False,False,,False,False,,False,
a84cfbdc-fd62-4787-88fb-69003b0a59ec,False,235996273,2021-05-15T07:54:45.130Z,2021-05-15T07:54:45.130Z,8,B1 可悲，公車上面也是寫新冠，防疫中心也是寫新冠，你是什麼牛馬？,36.0,True,False,{},M,隔壁老王,a2814542530,False,,[],False,False,,False,False,,False,
bfcf3a0b-b8a8-403c-badc-c157b71531cc,False,235996273,2021-05-15T08:11:39.149Z,2021-05-15T08:11:39.149Z,9,B8 可悲，新聞上面也是講武肺，你是什麼豬羊？,307.0,True,False,{},M,文化大學,flagflag,False,,[],False,False,,False,False,,False,
e7c6ea16-5f5b-4039-a1ec-f48897d5aeff,True,235996273,2021-05-15T08:12:42.565Z,2021-05-15T08:12:42.565Z,10,我每次感冒都喉嚨痛,111.0,False,False,{},F,國立清華大學,,False,,[],False,False,,False,False,,False,
accb6ce2-c08b-40dc-aad7-f6c7ca48c1fc,True,235996273,2021-05-15T08:31:14.209Z,2021-05-15T08:31:14.209Z,11,"B4 好啦聽得懂就好了
又不是要發表什麼正式的文章",40.0,False,False,{},M,逢甲大學,,False,,[],False,False,,False,False,,False,
bb650401-3afb-4c3f-9731-fe9cc44b28e0,True,235996273,2021-05-15T08:32:03.020Z,2021-05-15T08:32:03.020Z,12,"吵名字是腦子有什麼問題嗎
台灣人真的很無聊
還那麼多人按讚🙄",65.0,False,False,{},F,淡江大學,,False,,[],False,False,,False,False,,False,
d1a2250d-3cd2-4846-b795-75fd53c0325c,True,235996273,2021-05-15T08:40:53.948Z,2021-05-15T08:40:53.948Z,13,支那肺炎,48.0,False,False,{},M,國立臺灣科技大學,,False,,[],False,False,,False,False,,False,
2161deaa-7b21-496f-a672-92fb75874332,True,235996273,2021-05-15T08:41:08.293Z,2021-05-15T08:41:08.293Z,14,"我現在喉嚨卡痰超級癢一直想咳嗽 痰要卡在氣管裡面超難過 感覺快窒息
我沒有發燒也沒有去過目前公布的疫區
但我還是好擔心喔༎ຶ‿༎ຶ",88.0,False,False,{},F,臺北市立大學,,False,,[],False,False,,False,False,,False,
b9c6cf5d-a1cd-4f92-9a3c-24187b7c9da7,True,235996273,2021-05-15T09:09:08.156Z,2021-05-15T09:09:08.156Z,15,B1 都什麼時候了還在戰  傻眼,23.0,False,False,{},F,國立臺北科技大學,,False,,[],False,False,,False,False,,False,
b50dd32c-dfb9-4faa-85aa-7ac1e04f68b2,True,235996273,2021-05-15T09:17:18.448Z,2021-05-15T09:17:18.448Z,16,B14 我幫你抽痰就好,5.0,False,False,{},F,崇仁醫護管理專科學校,,False,,[],False,False,,False,False,,False,
229067c6-9a36-4ab4-9f75-8b3446e3b6f5,True,235996273,2021-05-15T09:21:10.165Z,2021-05-15T09:21:10.165Z,17,"B4 
B5 數據明顯顯示，dcard顏色：綠＞＞藍",31.0,False,False,{},F,嘉南藥理大學,,False,,[],False,False,,False,False,,False,
5b835f64-c095-4bcd-a947-4ff96d4ca766,False,235996273,2021-05-15T09:22:46.219Z,2021-05-15T09:22:46.219Z,18,"完全同感 我很久之前在捷運上打噴嚏
就有人跑超遠然後狂噴酒精
雖然沒有不高興也可以理解 
不過還是很尷尬無奈",14.0,True,False,{},F,慢慢的走,candy19920628,False,,[],False,False,,False,False,,False,
78abd579-743f-4ac2-a78a-4e29a7b9a09d,True,235996273,2021-05-15T09:25:09.384Z,2021-05-15T09:25:09.384Z,19,B15 戰病毒來源有問題ㄇ,41.0,False,False,{},M,國立臺灣科技大學,,False,,[],False,False,,False,False,,False,
b20dfffd-98cd-4515-8428-1d7ed836070c,True,235996273,2021-05-15T09:26:22.617Z,2021-05-15T09:26:22.617Z,20,"我藍色的
我也說武漢肺炎啊哈哈哈哈
B4",47.0,False,False,{},M,國立臺灣海洋大學,,False,,[],False,False,,False,False,,False,
220345e7-cde4-43d3-94b6-264416901483,True,235996273,2021-05-15T09:42:14.163Z,2021-05-15T09:42:14.163Z,21,"我現在有點喉嚨痛但沒有其他症狀
應該沒事吧🥺🥺🥺",16.0,False,False,{},F,國立臺北大學,,False,,[],False,False,,False,False,,False,
acbc150a-1c58-4eeb-8733-6c81f9c54b7b,True,235996273,2021-05-15T09:50:02.943Z,2021-05-15T09:50:11.352Z,22,B19 戰了然後呢 有助於什麼？？,10.0,False,False,{},F,國立臺北科技大學,,False,,[],False,False,,False,False,,False,
f98b1c78-0858-47d2-8e93-657305442bcd,True,235996273,2021-05-15T10:09:07.164Z,2021-05-15T10:09:07.164Z,23,"也是有無症狀感染 
大家還是要小心",3.0,False,False,{},F,正修科技大學,,False,,[],False,False,,False,False,,False,
8b7df1d7-555f-4241-bee0-20d87d7f5369,False,235996273,2021-05-15T10:12:31.811Z,2021-05-15T10:12:31.811Z,24,"B8 
B9
你們要不要結婚算了",28.0,True,False,{},F,🐏,maz7737,False,,[],False,False,,False,False,,False,
4dcc24d9-1be2-455b-ba85-f0c2d7a00e27,False,235996273,2021-05-15T10:37:34.929Z,2021-05-15T10:37:34.929Z,25,最指標性的失去味覺怎麼沒出現？,43.0,True,False,{},M,SK兔,a0806449782020,False,,[],False,False,,False,False,,False,
fb011d81-2089-4992-8e61-d799a9933a8e,True,235996273,2021-05-15T10:42:14.968Z,2021-05-15T10:42:14.968Z,26,有人去篩檢過嗎，剛剛朋友去篩檢結果醫院說要兩天後才會有結果，是正常的嗎,0.0,False,False,{},F,國立交通大學,,False,,[],False,False,,False,False,,False,
3ce84df8-72fd-4d18-a45f-e96dfb891766,True,235996273,2021-05-15T10:45:23.066Z,2021-05-15T10:45:23.066Z,27,疫情都這麼久了還不知道有無症狀？,2.0,False,False,{},M,國立暨南國際大學,,False,,[],False,False,,False,False,,False,
66b8f235-9a23-4142-a3b8-0aa01516b3a4,True,235996273,2021-05-15T10:47:14.852Z,2021-05-15T10:47:39.350Z,28,"B22 爽啊 怎樣 不戰能怎樣
我就要歧視垃圾支那人啊",24.0,False,False,{},M,國立臺灣科技大學,,False,,[],False,False,,False,False,,False,
