品牌名稱,商品名稱,網址,商品定價,星星評分,全球評分數量,太小,有點小,尺寸正確,有點大,太大,大小選項,顏色選項,商品描述,產品資訊,全球排名,留言網址
沒有牌子,Amazon Essentials 男款修身短袖印花襯衫,https://www.amazon.com/-/zh_TW/Amazon-Essentials-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E7%9F%AD%E8%A2%96%E5%8D%B0%E8%8A%B1%E8%A5%AF%E8%A1%AB-%E8%8A%B1%E5%8D%89-L/dp/B07JHQ8TGZ/ref=sr_1_1?keywords=floral+shirt&qid=1660007927&sr=8-1,13.6,4.5,3941,33,24,271,17,16,"['X-Small', 'Small', 'Medium', 'Large', 'X-Large', 'XX-Large']","['錨', '黑色、花卉', '藍色、魚', '藍色、花卉印花', '藍色、棕櫚葉', 'Flamingo', '海軍藍/粉紅色,貝殼', '橄欖、芙蓉花', '鳳梨', '粉紅色、水果', '藍綠色,鳥類', '白色/海軍藍,地理印花']","包裹尺寸 : 13.94 x 9.37 x 0.71 英吋; 4.94 盎司
項目型號 : AE1816176
部門 : 男
第一個有效日期 : 4 月 8, 2019
製造商 : Amazon Essentials
ASIN : B07JHZN9LV","Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men’s must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.","{'服裝，鞋子和珠寶': 5476, '男士休閒扣領襯衫': 65}",https://www.amazon.com/-/zh_TW/AE1816176-Amazon-Essentials-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E7%9F%AD%E8%A2%96%E5%8D%B0%E8%8A%B1%E8%A5%AF%E8%A1%AB/product-reviews/B07JHH4N6R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
Goodthreads,Goodthread 男款修身短袖印花府綢襯衫,https://www.amazon.com/-/zh_TW/Amazon-Brand-Goodthread-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E7%9F%AD%E8%A2%96%E5%8D%B0%E8%8A%B1%E5%BA%9C%E7%B6%A2%E8%A5%AF%E8%A1%AB-%E5%A3%81%E7%B4%99%E8%8A%B1%E5%8D%89/dp/B0774LPBCH/ref=sr_1_2?keywords=floral+shirt&qid=1660007927&sr=8-2,16.985,4.5,6138,90,73,532,48,28,"['X-Small', 'Small', 'Medium', 'M 號加長', 'Large', 'Large Tall', 'X-Large', 'X-Large Tall', 'XX-Large', 'XX-Large Tall', '3X-Large', '3XL 高']","['粉紅色、花卉印花', '淺藍色,有趣的食物印花', '棕褐色、迷彩/條紋', '粉紅色、鸚鵡印花', '波浪印花', '牛仔布、花卉印花', '黑色、花卉', '沙漠景觀', '骰子', '海軍,仙人掌', '粉紅色、花朵', '抽象花卉印花', '深綠色、葉子印花', '海軍藍、羽毛印花', '黑色/白色,花卉印花', '海軍藍、雛菊', '冰棒', '花朵壁紙', '黑色、幾何印花', '黑色、獎章印花', '黑色、迷你地理。', '橄欖、動物/迷彩', '鳥類', '碎花', '海軍藍、花卉', '煙草棕色/黑色,花卉', '白色,阿羅哈']","包裹尺寸 : 13.43 x 10.08 x 0.79 英吋; 4.97 盎司
項目型號 : MGT25078
部門 : 男
第一個有效日期 : 1 月 15, 2020
製造商 : Goodthreads
ASIN : B07J2W4YZX","Goodthreads' collection of men's clothing crafted with care takes wear-everywhere apparel to the next level. Create can't-miss pairings with long- and short-sleeve button-down shirts in standard and slim fits, plus chino pants and shorts made from wrinkle-free non-iron fabric. With these classics-and T-shirts, polo shirts, and outerwear to round out your look-Goodthreads is your go-to for wardrobe staples with the style you want.","{'服裝，鞋子和珠寶': 5018, '男士休閒扣領襯衫': 59}",https://www.amazon.com/-/zh_TW/MGT25078-Goodthread-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E7%9F%AD%E8%A2%96%E5%8D%B0%E8%8A%B1%E5%BA%9C%E7%B6%A2%E8%A5%AF%E8%A1%AB/product-reviews/B0773B4LZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
VATPAVE,VATPAVE 男款 花卉 夏威夷襯衫 短袖 扣領 海灘襯衫,https://www.amazon.com/-/zh_TW/VATPAVE-%E7%94%B7%E6%AC%BE-%E5%A4%8F%E5%A8%81%E5%A4%B7%E8%A5%AF%E8%A1%AB-%E6%B5%B7%E7%81%98%E8%A5%AF%E8%A1%AB-%E6%B5%B7%E8%BB%8D%E8%97%8D/dp/B08D3PQ36Z/ref=sr_1_3?keywords=floral+shirt&qid=1660007927&sr=8-3,23.49,4.3,13239,240,159,"1,034",109,39,"['Small', 'Medium', 'Large', 'X-Large', 'XX-Large', '3X-Large']","['米色', '藍色', '棕色', 'Coffee', '深綠色', '綠色', '多色', '海軍藍', '海軍藍復古', '粉紅色', '紅色', '紅色黃色', '天藍色', '白色', '白色竹子', '白色粉紅色', '白黃色', '黃色', '黃綠', '黑色', '橘色', '深藍色-1']","產品尺寸 : 7.48 x 6.69 x 0.08 英吋; 4.16 盎司
項目型號 : SC11_Beige_S
部門 : Mens
第一個有效日期 : 7 月 8, 2020
製造商 : VATPAVE
ASIN : B08CK4NPQC",,"{'服裝，鞋子和珠寶': 251, '男士休閒扣領襯衫': 4}",https://www.amazon.com/-/zh_TW/VATPAVE-%E7%94%B7%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E5%A4%8F%E5%A8%81%E5%A4%B7%E8%A5%AF%E8%A1%AB-%E6%B5%B7%E7%81%98%E8%A5%AF%E8%A1%AB/product-reviews/B089S31CKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
DOOPCCOR,夏威夷襯衫 夏威夷 休閒 鈕扣 夏季 Aloha 海灘 襯衫,https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo2Mjg4MzI2NjU1MDY3NDE0OjE2NjAwMDc5Mjc6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA1MDU4ODI0NDc5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&url=%2F%25E5%25A4%258F%25E5%25A8%2581%25E5%25A4%25B7%25E8%25A5%25AF%25E8%25A1%25AB-%25E5%25A4%258F%25E5%25A8%2581%25E5%25A4%25B7-Aloha-%25E7%25B6%25A0%25E8%2589%25B2%25E8%258A%25B1%25E6%259C%25B5-3X-Large%2Fdp%2FB09QCRXRBV%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%253Aamzn1.sym.9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%26cv_ct_cx%3Dfloral%2Bshirt%26keywords%3Dfloral%2Bshirt%26pd_rd_i%3DB09QCRXRBV%26pd_rd_r%3Df32d50ea-a188-43bb-8e6c-6435cf80090a%26pd_rd_w%3DFY79K%26pd_rd_wg%3DsZRlG%26pf_rd_p%3D9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%26pf_rd_r%3DC65MFAG27VNYRK03E408%26qid%3D1660007927%26sr%3D1-1-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1,22.99,4.1,152,5,7,49,2,5,"['Small', 'Medium', 'Large', 'X-Large', 'XX-Large', '3X-Large']","['Blue', 'Coral Red', 'Green', 'Green Flower', 'Green Red', 'Navy', 'Navy Blue', 'Pink Blue', 'Pink Green', 'White', 'White Green', 'White Pink', 'White Sailboat', 'White Tree', 'White Yellow', 'Yellow', 'Black Blue', 'Navy Red', 'Yellow Animal', 'Blue White']","部門 : 男
第一個有效日期 : 1 月 13, 2022
製造商 : DOOPCCOR
ASIN : B09QCSQ3X7",,"{'服裝，鞋子和珠寶': 23304, '男士休閒扣領襯衫': 251}",https://www.amazon.com/-/zh_TW/%E5%A4%8F%E5%A8%81%E5%A4%B7%E8%A5%AF%E8%A1%AB-%E5%A4%8F%E5%A8%81%E5%A4%B7-Aloha-%E7%B6%A0%E8%89%B2%E8%8A%B1%E6%9C%B5-3X-Large/product-reviews/B09QCRXRBV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
HISDERN,男士夏威夷襯衫短袖花卉休閒鈕扣熱帶襯衫夏季假日阿羅哈海灘夏威夷襯衫,https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo2Mjg4MzI2NjU1MDY3NDE0OjE2NjAwMDc5Mjc6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA1NjE0NzI2MzI5ODo6MTo6&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&url=%2F%25E7%2594%25B7%25E6%25AC%25BE-%25E5%25A4%258F%25E5%25A8%2581%25E5%25A4%25B7%25E8%25A5%25AF%25E8%25A1%25AB-%25E7%2586%25B1%25E5%25B8%25B6%25E8%25A5%25AF%25E8%25A1%25AB-Aloha-X-Large%2Fdp%2FB089ZHM88Y%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%253Aamzn1.sym.9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%26cv_ct_cx%3Dfloral%2Bshirt%26keywords%3Dfloral%2Bshirt%26pd_rd_i%3DB089ZHM88Y%26pd_rd_r%3Df32d50ea-a188-43bb-8e6c-6435cf80090a%26pd_rd_w%3DFY79K%26pd_rd_wg%3DsZRlG%26pf_rd_p%3D9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%26pf_rd_r%3DC65MFAG27VNYRK03E408%26qid%3D1660007927%26sr%3D1-2-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1,22.99,4.4,1364,39,20,197,13,5,"['Small', 'Medium', 'Large', 'X-Large', 'XX-Large']","['黑色/火烈鳥', '黑色/紅色', '藍色/火烈鳥', '藍色/花卉', '海軍藍/鳳梨', '海軍藍/綠色/粉紅色', '海軍藍/黃色', '黃色/鳳梨', '黃色/復古', 'Z-leaf 綠色', '黑色/金色', '海軍藍/粉紅色', '黃色/火烈鳥', '海軍藍/金色', '黃色/檸檬色', 'A1-黑掌', '黑色/火烈鳥 1', '黑色/白色/橙色', '黑色/黃色/棕色', 'Z 葉紅色', '水藍與紅色']","部門 : 男
第一個有效日期 : 六月 10, 2020
ASIN : B089Y5HXRQ",,"{'服裝，鞋子和珠寶': 15548, '男士休閒扣領襯衫': 173}",https://www.amazon.com/-/zh_TW/%E7%94%B7%E6%AC%BE-%E5%A4%8F%E5%A8%81%E5%A4%B7%E8%A5%AF%E8%A1%AB-%E7%86%B1%E5%B8%B6%E8%A5%AF%E8%A1%AB-Aloha-X-Large/product-reviews/B089ZHM88Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
MCEDAR,MCEDAR 男款休閒短袖鈕扣復古夏季夏威夷海灘度假襯衫(尺寸 S-5XL 號和高號),https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo2Mjg4MzI2NjU1MDY3NDE0OjE2NjAwMDc5Mjc6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA2NDM3MDQ1NDE0MTo6Mzo6&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&url=%2FMCEDAR-%25E7%2594%25B7%25E6%25AC%25BE%25E4%25BC%2591%25E9%2596%2592%25E7%259F%25AD%25E8%25A2%2596%25E9%2588%2595%25E6%2589%25A3%25E5%25BE%25A9%25E5%258F%25A4%25E5%25A4%258F%25E5%25AD%25A3%25E5%25A4%258F%25E5%25A8%2581%25E5%25A4%25B7%25E6%25B5%25B7%25E7%2581%2598%25E5%25BA%25A6%25E5%2581%2587%25E8%25A5%25AF%25E8%25A1%25AB-S-5XL-21018-Medium%2Fdp%2FB0921JMXS7%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%253Aamzn1.sym.9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%26cv_ct_cx%3Dfloral%2Bshirt%26keywords%3Dfloral%2Bshirt%26pd_rd_i%3DB0921JMXS7%26pd_rd_r%3Df32d50ea-a188-43bb-8e6c-6435cf80090a%26pd_rd_w%3DFY79K%26pd_rd_wg%3DsZRlG%26pf_rd_p%3D9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%26pf_rd_r%3DC65MFAG27VNYRK03E408%26qid%3D1660007927%26sr%3D1-3-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1,23.99,4.1,1940,83,42,271,16,20,"['Small', 'Medium', 'Large', 'X-Large', 'XX-Large', '3X-Large', '4X-Large', '5X-Large']","['黑色幾何 3636507', '黑色圖案 3636504', '黑白 21013', '黑白紅 3636509', '藍色棕色 21009', '藍色棕色 21018', '藍色腰果花 3636508', '藍綠色 21016', '藍色圖案 3636503', '藍色/白色 21005', '棕色條紋 3636502', '灰黑色 21010', '灰藍色 21022', '灰綠色 21024', '灰色條紋 3636501', 'Leaves Red 21021', '淺棕色 3636506', '海軍藍 3636505', '橘白色 3636510', '紫色畫框 3636511', '紅色 21012', '紅藍色 21006', '紅藍色 21014', '紅藍白色 21020', '條紋 21002', '紮染 21004', '黃色藍色 21007', '黃色藍色 21017', '深藍色 21001', '藍色 21003', '紅白色藍色 21008', '葉灰色 21019']","部門 : 男
第一個有效日期 : 3 月 6, 2021
ASIN : B08Y6FRJL7",,"{'服裝，鞋子和珠寶': 1756, '男士休閒扣領襯衫': 22}",https://www.amazon.com/-/zh_TW/MCEDAR-%E7%94%B7%E6%AC%BE%E4%BC%91%E9%96%92%E7%9F%AD%E8%A2%96%E9%88%95%E6%89%A3%E5%BE%A9%E5%8F%A4%E5%A4%8F%E5%AD%A3%E5%A4%8F%E5%A8%81%E5%A4%B7%E6%B5%B7%E7%81%98%E5%BA%A6%E5%81%87%E8%A5%AF%E8%A1%AB-S-5XL-21018-Medium/product-reviews/B0921JMXS7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
JMIERR,JMIERR 男款休閒短袖扣領花卉夏威夷襯衫,https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo2Mjg4MzI2NjU1MDY3NDE0OjE2NjAwMDc5Mjc6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA2ODQwMzkwNDE5ODo6NDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&url=%2FJMIERR-%25E7%2594%25B7%25E6%25AC%25BE%25E4%25BC%2591%25E9%2596%2592%25E7%259F%25AD%25E8%25A2%2596%25E6%2589%25A3%25E9%25A0%2598%25E8%258A%25B1%25E5%258D%2589%25E5%25A4%258F%25E5%25A8%2581%25E5%25A4%25B7%25E8%25A5%25AF%25E8%25A1%25AB-9-%25E7%25B2%2589%25E7%25B4%2585%25E8%2589%25B2-Small%2Fdp%2FB09V46ZRJH%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%253Aamzn1.sym.9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%26cv_ct_cx%3Dfloral%2Bshirt%26keywords%3Dfloral%2Bshirt%26pd_rd_i%3DB09V46ZRJH%26pd_rd_r%3Df32d50ea-a188-43bb-8e6c-6435cf80090a%26pd_rd_w%3DFY79K%26pd_rd_wg%3DsZRlG%26pf_rd_p%3D9e69e792-0ff0-4e1a-b10c-a41b9d9b3ffc%26pf_rd_r%3DC65MFAG27VNYRK03E408%26qid%3D1660007927%26sr%3D1-4-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1%26smid%3DA3EBZ6PK1Q1SQR,19.98,4.3,120,4,3,33,1,0,"['Small', 'Medium', 'Large', 'X-Large', 'XX-Large']","['0綠色', '0 紅色', '0 黃色', '1 個藍色', '1 黃色', '2 白色', '2 黃色', '7 黑色', '7 白色', '8 黑色', '8 白色', '9 黑色', '9 白色', '9 粉紅色', '0 黑色', '0 藍色', '0 白色', '1 黑色', '1 紅色', '3 黑色', '3 白色', '5 黑色', '4 白色', '0天藍色', '1 粉紅色']","項目型號 : BE5M255415-P
部門 : 男
第一個有效日期 : 2 月 16, 2022
ASIN : B09SL596ZM",,"{'服裝，鞋子和珠寶': 7309, '男士休閒扣領襯衫': 86}",https://www.amazon.com/-/zh_TW/JMIERR-%E7%94%B7%E6%AC%BE%E4%BC%91%E9%96%92%E7%9F%AD%E8%A2%96%E6%89%A3%E9%A0%98%E8%8A%B1%E5%8D%89%E5%A4%8F%E5%A8%81%E5%A4%B7%E8%A5%AF%E8%A1%AB-9-%E7%B2%89%E7%B4%85%E8%89%B2-Small/product-reviews/B09V46ZRJH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
沒有牌子,Amazon Essentials 男款修身短袖印花襯衫,https://www.amazon.com/-/zh_TW/Amazon-Essentials-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E7%9F%AD%E8%A2%96%E5%8D%B0%E8%8A%B1%E8%A5%AF%E8%A1%AB-%E8%8A%B1%E5%8D%89-L/dp/B07JHQ8TGZ/ref=sxin_15_trfobq2a_0_B07JHQ8TGZ?content-id=amzn1.sym.5ddee050-56b5-4bf4-9386-6ef622079f4c%3Aamzn1.sym.5ddee050-56b5-4bf4-9386-6ef622079f4c&cv_ct_cx=floral+shirt&keywords=floral+shirt&pd_rd_i=B07JHQ8TGZ&pd_rd_r=f32d50ea-a188-43bb-8e6c-6435cf80090a&pd_rd_w=WmGYF&pd_rd_wg=sZRlG&pf_rd_p=5ddee050-56b5-4bf4-9386-6ef622079f4c&pf_rd_r=C65MFAG27VNYRK03E408&qid=1660007927&sr=1-1-c944532c-3909-4a2a-84a2-570d2ee3cd13,13.6,4.5,3941,33,24,271,17,16,"['X-Small', 'Small', 'Medium', 'Large', 'X-Large', 'XX-Large']","['錨', '黑色、花卉', '藍色、魚', '藍色、花卉印花', '藍色、棕櫚葉', 'Flamingo', '海軍藍/粉紅色,貝殼', '橄欖、芙蓉花', '鳳梨', '粉紅色、水果', '藍綠色,鳥類', '白色/海軍藍,地理印花']","包裹尺寸 : 13.94 x 9.37 x 0.71 英吋; 4.94 盎司
項目型號 : AE1816176
部門 : 男
第一個有效日期 : 4 月 8, 2019
製造商 : Amazon Essentials
ASIN : B07JHZN9LV","Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men’s must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.","{'服裝，鞋子和珠寶': 5476, '男士休閒扣領襯衫': 65}",https://www.amazon.com/-/zh_TW/AE1816176-Amazon-Essentials-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E7%9F%AD%E8%A2%96%E5%8D%B0%E8%8A%B1%E8%A5%AF%E8%A1%AB/product-reviews/B07JHH4N6R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
Goodthreads,Goodthread 男款修身短袖印花府綢襯衫,https://www.amazon.com/-/zh_TW/Amazon-Brand-Goodthread-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E7%9F%AD%E8%A2%96%E5%8D%B0%E8%8A%B1%E5%BA%9C%E7%B6%A2%E8%A5%AF%E8%A1%AB-%E5%A3%81%E7%B4%99%E8%8A%B1%E5%8D%89/dp/B0774LPBCH/ref=sxin_15_trfobq2a_1_B0774LPBCH?content-id=amzn1.sym.5ddee050-56b5-4bf4-9386-6ef622079f4c%3Aamzn1.sym.5ddee050-56b5-4bf4-9386-6ef622079f4c&cv_ct_cx=floral+shirt&keywords=floral+shirt&pd_rd_i=B0774LPBCH&pd_rd_r=f32d50ea-a188-43bb-8e6c-6435cf80090a&pd_rd_w=WmGYF&pd_rd_wg=sZRlG&pf_rd_p=5ddee050-56b5-4bf4-9386-6ef622079f4c&pf_rd_r=C65MFAG27VNYRK03E408&qid=1660007927&sr=1-2-c944532c-3909-4a2a-84a2-570d2ee3cd13,16.985,4.5,6138,90,73,532,48,28,"['X-Small', 'Small', 'Medium', 'M 號加長', 'Large', 'Large Tall', 'X-Large', 'X-Large Tall', 'XX-Large', 'XX-Large Tall', '3X-Large', '3XL 高']","['粉紅色、花卉印花', '淺藍色,有趣的食物印花', '棕褐色、迷彩/條紋', '粉紅色、鸚鵡印花', '波浪印花', '牛仔布、花卉印花', '黑色、花卉', '沙漠景觀', '骰子', '海軍,仙人掌', '粉紅色、花朵', '抽象花卉印花', '深綠色、葉子印花', '海軍藍、羽毛印花', '黑色/白色,花卉印花', '海軍藍、雛菊', '冰棒', '花朵壁紙', '黑色、幾何印花', '黑色、獎章印花', '黑色、迷你地理。', '橄欖、動物/迷彩', '鳥類', '碎花', '海軍藍、花卉', '煙草棕色/黑色,花卉', '白色,阿羅哈']","包裹尺寸 : 13.43 x 10.08 x 0.79 英吋; 4.97 盎司
項目型號 : MGT25078
部門 : 男
第一個有效日期 : 1 月 15, 2020
製造商 : Goodthreads
ASIN : B07J2W4YZX","Goodthreads' collection of men's clothing crafted with care takes wear-everywhere apparel to the next level. Create can't-miss pairings with long- and short-sleeve button-down shirts in standard and slim fits, plus chino pants and shorts made from wrinkle-free non-iron fabric. With these classics-and T-shirts, polo shirts, and outerwear to round out your look-Goodthreads is your go-to for wardrobe staples with the style you want.","{'服裝，鞋子和珠寶': 5018, '男士休閒扣領襯衫': 59}",https://www.amazon.com/-/zh_TW/MGT25078-Goodthread-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E7%9F%AD%E8%A2%96%E5%8D%B0%E8%8A%B1%E5%BA%9C%E7%B6%A2%E8%A5%AF%E8%A1%AB/product-reviews/B0773B4LZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
沒有牌子,Amazon Essentials 男款 Regular-Fit 短袖府綢襯衫,https://www.amazon.com/-/zh_TW/Amazon-Essentials-%E7%94%B7%E6%AC%BE%E7%9F%AD%E8%A2%96%E4%B8%80%E8%88%AC%E5%90%88%E8%BA%AB%E4%BC%91%E9%96%92%E5%BA%9C%E7%B6%A2%E8%A5%AF%E8%A1%AB-%E9%BB%91%E8%89%B2-%E8%99%9F%E8%8A%B1%E6%9C%B5/dp/B07XD2MG7T/ref=sxin_15_trfobq2a_2_B07XD2MG7T?content-id=amzn1.sym.5ddee050-56b5-4bf4-9386-6ef622079f4c%3Aamzn1.sym.5ddee050-56b5-4bf4-9386-6ef622079f4c&cv_ct_cx=floral+shirt&keywords=floral+shirt&pd_rd_i=B07XD2MG7T&pd_rd_r=f32d50ea-a188-43bb-8e6c-6435cf80090a&pd_rd_w=WmGYF&pd_rd_wg=sZRlG&pf_rd_p=5ddee050-56b5-4bf4-9386-6ef622079f4c&pf_rd_r=C65MFAG27VNYRK03E408&qid=1660007927&sr=1-3-c944532c-3909-4a2a-84a2-570d2ee3cd13,15.925,4.5,13693,116,105,"1,141",99,53,"['X-Small', 'Small', 'Medium', 'Large', 'X-Large', 'XX-Large']","['Aqua Blue, Checked', 'Aqua Blue, Floral/Leaf Print', 'Aqua Blue, Gingham', 'Black/White, Floral', 'Blue, Buffalo Check', 'Blue, Chambray/Leaf Print', 'Blue, Gingham', 'Blue, Stripe', 'Blue, Vertical Stripe', 'Blue/Grey', 'Blue/Orange, Checked', 'Blue/Orange, Plaid', 'Blue/White, Stripe', 'Burgundy', 'Coral Orange/White, Dots', 'Crab', 'Dark Grey', 'Denim, Large Plaid', 'Floral', 'Grey/Black, Plaid', 'Navy, Floral', 'Navy, Gradient Stripes', 'Navy, Medium Plaid', 'Navy, Plaid', 'Navy, Stripe', 'Navy, Windowpane', 'Olive', 'Pink, Gradient/Plaid', 'Red, Chambray/Leaf Print', 'Red/Blue, Floral', 'Stripe/Palm Leaf', 'Tan', 'Teal Blue, Floral', 'Teal Blue/Navy, Large Plaid', 'Washed Red, Roses', 'Washed Red, Windowpane', 'Washed Red/Blue, Plaid', 'White/Blue, Plaid', 'White/Navy, Large Plaid', 'Blue, Plaid', 'Red/Blue, Plaid', 'Medium Blue', 'Light Blue', 'Grey', 'Rinsed']","包裹尺寸 : 13.11 x 8.98 x 1.14 英吋; 6.07 盎司
項目型號 : S17AE30001
部門 : 男
第一個有效日期 : 九月 12, 2019
製造商 : Amazon Essentials
ASIN : B07XF53R31","Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men’s must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.","{'服裝，鞋子和珠寶': 522, '男士休閒扣領襯衫': 6}",https://www.amazon.com/-/zh_TW/Amazon-Essentials-%E7%94%B7%E6%AC%BE-Regular-Fit-%E7%9F%AD%E8%A2%96%E5%BA%9C%E7%B6%A2%E8%A5%AF%E8%A1%AB/product-reviews/B08M9VZKM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
